rgn_id,species_latin,species_common,CHN_class,IUCN_class,value
GX,Tachypleus gigas,Tachypleus gigas,,EN,0.6
GX,Carcinoscorpius rotundicauda,Carcinoscorpius rotundicauda,,EN,0.6
GX,Holothuria insignis,Holothuria insignis Ludwig,,EN,0.6
GX,Holothuria fuscocinerea ,Holothuria fuscocinerea Jaeger,,EN,0.6
GX,Holothuria scabra ,Holothuria scabra Jaeger,,EN,0.6
GX,Holothuria martensi ,Holothuria martensi Semper,,EN,0.6
GX,Holothuria ocellata,Holothuria ocellata,,EN,0.6
GX,Holothuria hilla ,Holothuria hilla,,EN,0.6
GX,Holothuria rigidus ,Holothuria rigida,,EN,0.6
GX,Stichopus flaccus ,Stichopus flaccus Liao,,EN,0.6
GX,Stichopus variegatus ,Stichopus variegatus Semper,,EN,0.6
GX,Mensamaria intercedens ,Mensamaria intercedens,,EN,0.6
GX,Colochirus anceps ,Colochirus anceps,,EN,0.6
GX,Colochirus quadrangularis ,Colochirus quadrangularis Troschel,,EN,0.6
GX,"Anthocidaris crassispina 
 
",Anthocidaris crassispina,,EN,0.6
HN,Pseudorca crassidens,False Killer Whale,2,,0.17
HN,Hippocampus kelloggi,Great Seahorse,2,,0.17
HN,Cassis cornuta ,Horned Helmet,2,,0.17
HN,Pinctada maxima ,Pearl Oyster,2,,0.17
HN,Lepidochelys olivacea,Olive Ridley Sea Turtle,2,,0.17
HN,Lagenorhynchus obliquidens ,Pacific White-sided Dolphin,2,LC,0
HN,Tursiops truncatus ,Common Bottlenose Dolphin,2,,0.17
HN,Tridacna gigas ,Giant Clam,1,VU,0.4
HN,Megaptera novaeangliae ,Humpback Whale,2,LC,0
HN,Mycteria leucocephala,Painted Stork,1,,0.46
HN,Physeter catodon Linnaeus,"Sperm Whale, Spermacet Whale, Cachelot, Pot Whale",2,,0.17
HN,Dermochelys coriacea ,Leatherback Sea Turtle,2,,0.17
HN,Hirundapus cochinchinensis ,Silver-backed Needletail,2,,0.17
HN,Eretmochelys imbricata ,Hawksbill Sea Turtle,1,CR,0.8
HN,Haliaeetus albicilla ,White-tailed Eagle,1,,0.46
HN,Ciconia ciconia ,White Stork,1,,0.46
HN,Steno bredanensis ,Rough-toothed Dolphin,2,,0.17
HN,Cypraea tigris Linnaeus,Tiger Cowrie,2,EN,0.6
HN,Stenella longirostris ,Long-beaked Common Dolphin,2,DD,0.17
HN,Nautilidae,Nautilus,1,,0.46
HN,Tachpleus tridentatus,Tachpleus tridentatus,,EN,0.6
HN,Turbinaria crater ,Turbinaria crater,,EN,0.6
HN,Acropora cerealis ,Acropora cerealis,,EN,0.6
HN,"Acropora cytherea 
 
",Acropora cytherea,,EN,0.6
HN,Acropora florida ,Acropora florida,,EN,0.6
HN,Acropora formosa ,Acropora formosa,,EN,0.6
HN,Acropora hyacinthus ,Acropora hyacinthus,,EN,0.6
HN,Acropora lutkeni ,Acropora lutkeni Crossland,,EN,0.6
